</s>	(553, 0.00)	(1152, -0.00)	(1176, -0.00)	(1362, -0.00)	(3751, 0.00)
<s>	(347, -0.02)	(412, 0.02)	(1441, 0.02)	(2383, -0.02)	(3591, 0.02)
</enc>	(65, 0.02)	(560, -0.01)	(783, -0.02)	(3687, -0.02)	(3972, 0.02)
<unk>	(588, 0.01)	(901, -0.01)	(1601, -0.01)	(1665, 0.02)	(3642, -0.01)
unjustifiable	(159, 2.17)	(1630, 0.71)	(1933, -0.25)	(3696, -0.57)	(3831, 0.52)
awesome	(531, 0.44)	(1453, 0.81)	(2424, 0.35)	(2829, 0.78)	(4016, 1.70)
wheresoever	(544, 0.63)	(2094, 0.48)	(3258, 0.59)	(3500, 0.35)	(3711, 0.37)
attempted	(158, 0.52)	(491, 0.40)	(692, 1.75)	(3579, 0.89)	(3831, 0.70)
crosscut	(182, 0.60)	(521, 2.11)	(2962, 0.66)	(3422, 1.23)	(3498, -0.67)
backflow	(1222, 0.59)	(2704, 1.12)	(2708, 0.76)	(2731, 1.76)	(2747, 0.70)
alumni	(685, 1.54)	(1203, 0.55)	(3096, 0.74)	(3143, 1.02)	(3290, 0.62)
Hagiographa	(167, 0.02)	(2135, 0.01)	(3183, 0.02)	(3405, -0.01)	(3997, -0.01)
Stein	(740, 0.31)	(962, 1.79)	(1157, 0.28)	(2993, 0.29)	(3939, 0.31)
screed	(304, 0.66)	(565, 1.96)	(2337, 0.68)	(2702, -0.63)	(2707, 1.47)
coughing	(1022, 2.03)	(3161, 0.94)	(3614, 0.56)	(3801, -0.93)	(3914, 0.56)
caricatures	(219, 0.80)	(1478, 1.33)	(2768, 0.85)	(3643, -0.55)	(4043, 1.17)
consultative	(630, 1.61)	(1414, 0.52)	(1839, 0.93)	(1886, 0.97)	(3496, 0.39)
shipped	(218, 0.50)	(407, 1.67)	(1501, 1.15)	(2131, 0.97)	(2608, 0.64)
Mongolian	(327, 1.10)	(476, 1.43)	(884, 1.10)	(3428, 1.17)	(3842, 0.71)
stanzaic	(679, -0.02)	(1232, 0.02)	(2558, 0.02)	(2601, 0.02)	(3550, 0.02)
sunburst	(198, 0.52)	(1416, 1.49)	(2691, 0.84)	(2989, 1.23)	(3685, 0.56)
trawl	(282, 1.38)	(552, 1.90)	(870, 0.94)	(1272, 0.53)	(2352, 0.65)
victimizes	(169, 1.29)	(667, 0.78)	(1719, 0.98)	(2890, 1.43)	(3823, 0.80)
semicircle	(31, 1.36)	(725, 1.08)	(1457, 0.71)	(3360, 1.83)	(3709, -0.59)
benthos	(750, 0.29)	(1834, 1.13)	(1920, -0.35)	(3357, 0.48)	(4053, 0.29)
Epimetheus	(871, 1.57)	(1673, -0.39)	(1827, 0.54)	(1850, 0.83)	(3714, 0.42)
hopelessness	(180, 0.91)	(188, 0.36)	(1448, 2.33)	(1697, -0.42)	(2932, 0.65)
blennies	(242, 0.48)	(442, 0.31)	(824, -0.25)	(1326, 0.82)	(1625, 0.25)
fructify	(564, 1.13)	(919, 0.53)	(1330, 2.00)	(1863, 0.63)	(2694, 1.41)
oxford	(38, 1.46)	(279, 0.54)	(541, -0.60)	(861, 0.97)	(1144, 0.85)
tormented	(88, 0.98)	(699, 1.28)	(2236, 0.44)	(2560, -0.55)	(3306, 1.16)
1086	(1270, -0.01)	(2785, -0.01)	(2810, 0.02)	(3692, 0.02)	(3925, -0.01)
sometime	(360, 0.45)	(1194, -0.56)	(2215, 1.27)	(2787, 0.90)	(3935, 0.54)
hamsters	(2, 0.94)	(1674, 1.11)	(1971, 0.77)	(2567, 1.51)	(2746, 0.67)
unsettled	(1341, 0.56)	(2221, 1.24)	(2497, 0.63)	(2610, 0.79)	(3364, 0.59)
lesions	(6, -0.57)	(336, 0.67)	(459, 2.63)	(1287, 1.74)	(3728, 0.49)
martial	(1536, 0.86)	(2188, 1.34)	(2709, 0.82)	(3631, -0.50)	(3904, 1.92)
contradict	(574, 0.59)	(913, 0.61)	(1128, 1.41)	(1638, 1.54)	(2326, 0.57)
Temple	(14, 1.41)	(52, 0.43)	(1415, 0.75)	(2182, 0.52)	(2839, 0.95)
m/sec/sec	(842, -0.01)	(2148, 0.02)	(2427, 0.01)	(3762, 0.01)	(4001, 0.02)
contriving	(682, 0.55)	(937, 0.72)	(1241, 0.91)	(1385, 0.46)	(3828, 1.38)
magnesium	(611, 0.37)	(2407, 0.55)	(2633, 1.65)	(2862, 1.47)	(3174, 0.50)
recesses	(27, 1.00)	(424, 1.15)	(878, 1.52)	(1088, 0.49)	(2085, 0.67)
slit	(38, 0.61)	(658, 0.64)	(3052, 1.20)	(3872, 1.27)	(4045, 1.19)
pomposity	(132, 1.20)	(376, 0.47)	(1238, 1.62)	(1587, -0.63)	(2063, 0.52)
genetical	(243, 0.55)	(1488, 1.04)	(3486, 0.51)	(3722, 0.44)	(4030, 0.67)
tebibytes	(329, 0.01)	(871, -0.01)	(3001, 0.01)	(3290, 0.02)	(3589, -0.02)
distorting	(434, 0.67)	(1112, 1.34)	(1363, 1.66)	(3499, 0.57)	(3947, 1.00)
highest	(934, 1.66)	(1357, 0.56)	(1445, 1.32)	(1479, 0.81)	(3723, -0.51)
weak	(1738, 1.96)	(2605, -0.29)	(2890, 0.36)	(3440, 0.79)	(4035, 0.42)
loosen	(2202, -0.35)	(2761, 1.72)	(3009, 0.66)	(3596, 1.31)	(3858, 0.53)
ooze	(737, -0.33)	(1074, 1.10)	(1597, 0.99)	(1916, 1.34)	(3346, 0.73)
tale	(347, 0.75)	(1538, 0.40)	(1671, 2.42)	(2690, -0.55)	(3424, -0.26)
relatives	(1643, 0.61)	(1646, 1.98)	(1875, 0.47)	(3153, 0.36)	(3763, 0.41)
encapsulates	(870, 0.36)	(1282, 1.22)	(2005, 1.58)	(2342, 0.43)	(3459, 0.56)
homosexuality	(353, -0.65)	(2045, 1.24)	(2278, 0.45)	(3695, 2.69)	(3973, -0.48)
delta	(537, 0.79)	(721, 0.69)	(1475, 1.00)	(3226, -0.84)	(3432, 1.90)
cacti	(911, 0.58)	(1184, -0.39)	(1942, 0.54)	(3911, 0.84)	(3955, 2.28)
inheritance	(40, 1.90)	(200, 0.58)	(3001, 0.69)	(3130, 0.66)	(3339, 1.04)
sundial	(2408, 0.55)	(2510, 1.36)	(3065, 0.45)	(3245, 0.83)	(3810, 1.79)
mockingbird	(338, 0.63)	(418, 0.79)	(822, 2.17)	(3598, -0.59)	(3955, 0.74)
styling	(151, 0.43)	(257, 2.62)	(648, 0.70)	(976, -0.44)	(1037, 1.32)
odyssey	(77, 0.72)	(435, -0.39)	(1324, 2.46)	(1382, 0.47)	(1671, 0.71)
airtight	(402, 0.66)	(403, 1.64)	(1496, 0.99)	(1541, 0.59)	(2671, 0.83)
regrow	(42, 1.25)	(1583, 2.25)	(3377, -0.56)	(3798, 1.82)	(3799, 0.59)
gunner	(413, 1.53)	(572, 0.62)	(1853, 1.07)	(2023, 1.26)	(3710, 1.00)
moved	(914, 0.51)	(925, 0.49)	(1540, 1.24)	(1866, 0.77)	(2217, 0.49)
hare_krishna	(538, -0.15)	(591, 0.24)	(2418, 0.27)	(2683, 0.20)	(2703, 0.21)
jealous	(271, 0.72)	(468, 0.54)	(808, 0.81)	(1365, 2.13)	(2111, 0.53)
Lancaster	(508, 0.50)	(1116, 1.06)	(1276, -0.49)	(1663, 0.43)	(2142, 0.69)
nonfiction	(704, 1.18)	(1015, 0.61)	(1543, 1.75)	(1585, -0.65)	(3725, -0.38)
armlike	(59, 0.02)	(112, 0.02)	(1603, -0.02)	(2038, -0.02)	(3652, 0.02)
warmness	(1407, 1.57)	(1597, 0.53)	(2641, 1.09)	(3697, 0.50)	(4016, 0.59)
sharpness	(84, 1.35)	(460, 0.86)	(1213, 0.71)	(1216, 0.87)	(2007, 1.33)
Mongols	(476, 1.07)	(2256, 0.78)	(3104, 0.79)	(3110, 2.89)	(3335, 0.73)
switched	(697, 0.73)	(818, 0.64)	(2003, 0.72)	(2235, 1.01)	(2369, 0.76)
stewed	(4, 0.96)	(53, 1.90)	(261, 0.68)	(1322, 0.72)	(1577, 0.63)
gory	(182, 0.78)	(1386, 0.83)	(2194, 1.78)	(2662, 0.65)	(2878, 0.59)
transported	(121, 0.68)	(1501, 1.22)	(1811, 0.98)	(3209, 0.78)	(3698, 1.23)
disputing	(1024, 0.63)	(1095, 1.06)	(1640, 0.67)	(2644, 0.51)	(3404, 1.18)
Fungi	(462, 0.86)	(678, 0.62)	(699, -0.69)	(1400, 1.85)	(3392, 1.01)
perform	(1473, 1.10)	(2969, 1.20)	(3196, 0.48)	(3691, 1.07)	(3749, -0.59)
Hominoidea	(889, -0.02)	(1549, -0.01)	(2223, 0.02)	(3325, 0.01)	(3496, 0.01)
medicate	(497, 1.53)	(658, 1.55)	(1348, -0.56)	(2916, 0.77)	(3794, 1.12)
bootlicking	(492, 0.41)	(2315, -0.64)	(3082, 0.40)	(3258, 0.71)	(3592, 1.47)
earliest	(934, 1.13)	(1986, 0.79)	(2215, 0.92)	(2787, 0.87)	(3559, 0.50)
aces	(469, 1.81)	(624, 2.35)	(1453, 0.69)	(1534, 1.13)	(2427, 0.60)
chrysanthemum	(404, 0.57)	(1659, 0.70)	(2663, 1.02)	(3392, 2.02)	(3964, 0.73)
cirque	(335, 1.58)	(475, 0.60)	(635, 1.39)	(1455, 0.66)	(2507, 0.70)
